sku,price,ProductTitle,Designer,category,template,ReferenceCode,in_stock
142242,2280.00," Chanel A67528 Large French Riviera Red Quilted Leather Shoulder Bag ",Chanel,Handbags,Handbags,141087-142242-CES-SH,1
142275,360.00," Burberry Pink Leather Shoulder Bag ",Burberry,Handbags,Handbags,141112-142275-PMS-SH,1
142288,1800.00," Gucci 114900 Black Python Hobo ",Gucci,Handbags,Handbags,141121-142288-TES-SH,1
142383,1200.00," Gucci 246907 New Jackie Black Leather Hobo ",Gucci,Handbags,Handbags,141181-142383-MSB-SH,1
142412,300.00," Christian Dior Gaucho Burgundy Suede Shoulder Bag ","Christian Dior",Handbags,Handbags,141206-142412-PNM-MZ,1
142438,1368.00," Christian Louboutin 1165154 Small Eloise Burgundy Leather Tote ","Christian Louboutin",Handbags,Handbags,141218-142438-MTS-SH,1
142459,1200.00,"Gucci 370830 Bamboo Daily Grey Leather 2-Way Shoulder Bag",Gucci,Handbags,Handbags,141237-142459-MSB-SH,1
142515,1320.00," Louis Vuitton Mahina L Black Mahina Leather Tote ","Louis Vuitton",Handbags,Handbags,141280-142515-UIS-SH,1
142517,240.00," Miu Miu Mini Vitello Lux Green Leather Satchel ","Miu Miu",Handbags,Handbags,141282-142517-PSB-SH,1
142565,180.00," Stella McCartney Appaloosa Patchwork Black Patent Leather Satchel ","Stella McCartney",Handbags,Handbags,141315-142565-TM-SH,1
142569,6240.00," Chanel A90988 Multi-Color & Red Color Block Leather Shoulder Bag ",Chanel,Handbags,Handbags,141318-142569-NASB-SH,1
142644,1560.00," Gucci 246907 New Jackie Black Suede Hobo ",Gucci,Handbags,Handbags,141369-142644-AMS-SH,1
142674,720.00," Yves Saint Laurent Black Sequin Clutch ","Yves Saint Laurent",Handbags,Handbags,,1
142708,1560.00," Chanel Vintage Diana Black Quilted Lambskin Leather Shoulder Bag ",Chanel,Handbags,Handbags,,1
142709,1560.00," Chanel Vintage Black Quilted Lambskin Leather Shoulder Bag ",Chanel,Handbags,Handbags,,1
142743,1920.00," Chanel A48015 On The Road Burgundy Quilted Leather Shoulder Bag ",Chanel,Handbags,Handbags,141443-142743-TIS-SH,1
142808,300.00," Mulberry Black Leather Shoulder Bag ",Mulberry,Handbags,Handbags,,1
142809,720.00," Tods Sella Bauletto Burgundy Leather Satchel ",Tods,Handbags,Handbags,,1
142810,480.00," Burberry Orchard Blue Leather Satchel ",Burberry,Handbags,Handbags,,1
142814,720.00," Gucci 247285 Catherine Blue Snakeskin Satchel ",Gucci,Handbags,Handbags,,1
142815,960.00," Celine Mini Luggage Brown Leather Tote ",Celine,Handbags,Handbags,,1
142816,180.00," Versace Madonna Black Leather Satchel ",Versace,Handbags,Handbags,,1
142822,240.00,"Jimmy Choo Black & Silver Suede Clutch","Jimmy Choo",Handbags,Handbags,141504-142822-PSB-SH,1
142840,540.00," Gucci 354332 Blue Diamante Leather Satchel ",Gucci,Handbags,Handbags,141517-142840-NBM-SH,1
142844,960.00," Louis Vuitton Sherwood GM Purple Vernis Leather Satchel ","Louis Vuitton",Handbags,Handbags,141521-142844-USB-SH,1
142893,360.00," Louis Vuitton Red Vernis Leather Cosmetic Bag ","Louis Vuitton",Handbags,Handbags,141547-142893-PMS-SH,1
142997,792.00," Chopard Madrid Black Leather Shoulder Bag ",Chopard,Handbags,Handbags,141622-142997-EPS-SH,1
143016,1920.00," Louis Vuitton Neo Papillon GM Green Empreinte Leather Satchel ","Louis Vuitton",Handbags,Handbags,141634-143016-TIS-SH,1
143052,3120.00,"Chanel A92852 Flower Power Extra Mini Quilted Leather Shoulder Bag",Chanel,Handbags,Handbags,141617-143052-PESB-SH,1
143099,1200.00," Jimmy Choo Lockett Petite Black Leather Crossbody Bag ","Jimmy Choo",Handbags,Handbags,141681-143099-MSB-SH,1
143111,1800.00," Hermes Massai 32 Purple Leather Shoulder Bag ",Hermes,Handbags,Handbags,141691-143111-TMS-SH,1
143112,1440.00," Louis Vuitton M40843 Alma PM Purple Epi Leather Satchel ","Louis Vuitton",Handbags,Handbags,141691-143112-ASB-SH,1
143167,2820.00," Louis Vuitton M40682 Yayoi Kusama Lockit MM Dots Infinity Black & White Monogram Canvas Tote ","Louis Vuitton",Handbags,Handbags,141727-143167-PBTM-SH,1
143187,1620.00," Fendi 8BL124 By The Way Tan Leather Shoulder Bag ",Fendi,Handbags,Handbags,141737-143187-ATM-SH,1
143188,1380.00," Bottega Veneta Beige Intrecciato Leather Tote ","Bottega Veneta",Handbags,Handbags,141738-143188-MBM-SH,1
143210,3720.00," Chanel A92819 Black Quilted Leather Shoulder Bag ",Chanel,Handbags,Handbags,141753-143210-PMBS-SH,1
143262,1080.00," Gucci 254884 Black Leather Crossbody Bag ",Gucci,Handbags,Handbags,141792-143262-UMS-SH,1
143269,3600.00," Chanel A93823 Gabrielle Large Shopping Black Quilted Lambskin Leather Tote ",Chanel,Handbags,Handbags,141798-143269-PMSB-SH,1
143322,1080.00," Fendi 8BH258 Petite 2Jours Blue Leather Tote ",Fendi,Handbags,Handbags,141837-143322-UMS-SH,1
143345,1200.00," Louis Vuitton Doc Red Epi Leather Satchel ","Louis Vuitton",Handbags,Handbags,141854-143345-MSB-SH,1
143348,1620.00," Celine Mini Tie Bag Blue Leather Tote ",Celine,Handbags,Handbags,141854-143348-AMB-SH,1
143396,720.00," Balenciaga 168028 Part Time Brown Leather Shoulder Bag ",Balenciaga,Handbags,Handbags,141887-143396-EBT-SH,1
143400,960.00,"Chanel Rodeo Drive Silver Perforate Leather Shoulder Bag",Chanel,Handbags,Handbags,141887-143400-UBT-SH,1
143401,660.00,"Chanel Ligne Cambon Bowler Tan & Black Quilted Leather Satchel",Chanel,Handbags,Handbags,141887-143401-EPM-SH,1
143403,2160.00,"Louis Vuitton M41152 Montaigne MM Beige Empreinte Leather Satchel","Louis Vuitton",Handbags,Handbags,141887-143403-CTA-SH,1
143405,180.00," Marc Jacobs Faridah Brown Leather Hobo ","Marc Jacobs",Handbags,Handbags,141887-143405-IU-SH,1
143407,900.00," Prada BL0838 Grey Leather Satchel ",Prada,Handbags,Handbags,141887-143407-UPU-SH,1
143408,1056.00,"Prada BN2579 Vitello Daino Blue Leather 2-Way Satchel",Prada,Handbags,Handbags,141887-143408-UAC-SH,1
143409,600.00,"Cartier Happy Birthday Flap Cabochon Burgundy Patent Leather Clutch",Cartier,Handbags,Handbags,141887-143409-NIN-SH,1
143412,1176.00," Louis Vuitton M93727 Sobe Orange  Patent Leather Clutch ","Louis Vuitton",Handbags,Handbags,141887-143412-MNM-SH,1
143423,360.00,"Yves Saint Laurent Muse Black Denim Shoulder Bag","Yves Saint Laurent",Handbags,Handbags,141887-143423-PAP-SH,1
143424,264.00,"Celine Boogie Brown Leather Satchel",Celine,Handbags,Handbags,141887-143424-PNI-SH,1
143429,480.00,"Louis Vuitton M51365 Papillon 30 Monogram Satchel","Louis Vuitton",Handbags,Handbags,141887-143429-NBT-SH,1
143430,228.00,"Prada BT0398 Black Nylon & Leather Shoulder Bag",Prada,Handbags,Handbags,141887-143430-PSA-SH,1
143431,360.00," Prada BR2363 Black Leather Shoulder Bag ",Prada,Handbags,Handbags,141887-143431-PIE-SH,1
143432,900.00,"Louis Vuitton M32782 Neo Igor Black Taiga Leather Satchel","Louis Vuitton",Handbags,Handbags,141887-143432-UPU-SH,1
143435,336.00,"Gucci 120894 GG Canvas & Brown Suede Shoulder Bag",Gucci,Handbags,Handbags,141887-143435-PAP-SH,1
143437,1140.00,"Louis Vuitton M40145 Palermo GM Monogram Tote","Louis Vuitton",Handbags,Handbags,141887-143437-MSN-SH,1
143438,3984.60,"Hermes Bolide 37 Brown Courchevel Leather Satchel",Hermes,Handbags,Handbags,141887-143438-PABS-MZ,1
143439,1368.00,"Louis Vuitton M40601Fascination Lockit Tan Monogram Leather Satchel","Louis Vuitton",Handbags,Handbags,141887-143439-APE-SH,1
143442,864.00," Valentino Rockstud Shoulder Brown Leather Shoulder Bag ",Valentino,Handbags,Handbags,141887-143442-ECN-SH,1
143443,480.00,"Louis Vuitton M95225 Mini Lin Boulogne Shoulder Bag","Louis Vuitton",Handbags,Handbags,141887-143443-NBT-SH,1
143446,180.00," Tory Burch Amanda Pink Leather Pochette ","Tory Burch",Handbags,Handbags,141887-143446-CM-SH,1
143449,720.00," Chanel A30899 All Day Long Bowler Brown Quilted Leather Satchel ",Chanel,Handbags,Handbags,141887-143449-EBT-SH,1
143450,3960.00,"Louis Vuitton M42245 Capucines PM Black Leather Satchel","Louis Vuitton",Handbags,Handbags,141887-143450-PIBS-SH,1
143451,600.00," Chanel A14692 Tan Quilted Leather Tote ",Chanel,Handbags,Handbags,141887-143451-NAS-SH,1
143452,1488.00,"Chanel A48611 Coco Cocoon MM Black Quilted Caviar Leather Tote",Chanel,Handbags,Handbags,141887-143452-ABP-SH,1
143489,1200.00," Christian Louboutin Paloma Pink  & Color Block Leather Tote ","Christian Louboutin",Handbags,Handbags,141913-143489-MSB-SH,1
143541,1200.00," Chanel Black Quilted Leather Shoulder Bag ",Chanel,Handbags,Handbags,141420-143541-MSB-SH,1
143556,48.00," Marc Jacobs Purple Leather Satchel ","Marc Jacobs",Handbags,Handbags,141928-143556-NS-SH,1
143660,528.00,"Alexander McQueen Skull Gold & Silver Leather Clutch","Alexander McQueen",Handbags,Handbags,142014-143660-NMP-SH,1
143667,2946.02," Chanel Vintage Bucket Black Lambskin Leather Satchel ",Chanel,Handbags,Handbags,,1
143669,1620.00,"Chanel A48611 Coco Cocoon MM Black Quilted Nylon Tote",Chanel,Handbags,Handbags,142014-143669-TPN-SH,1
143671,1457.02," Hermes Garden Party PM Beige Canvas Tote ",Hermes,Handbags,Handbags,,1
143672,480.00," Louis Vuitton M51870 Pochette Gange Brown Monogram Coated Canvas Crossbody Bag ","Louis Vuitton",Handbags,Handbags,142015-143672-NPU-MZ,1
